OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2109,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,unidentified,BOTU_2109_Chitinophagaceae
BOTU_2105,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus,unidentified,BOTU_2105_Inquilinus
BOTU_2110,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,uncultured_bacterium,BOTU_2110_uncultured_bacterium
BOTU_2108,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus,uncultured_Alphaproteobacteria,BOTU_2108_uncultured_Alphaproteobacteria
BOTU_2114,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,JG30-KF-CM66,unidentified,BOTU_2114_JG30-KF-CM66
BOTU_2120,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,uncultured_planctomycete,BOTU_2120_uncultured_planctomycete
BOTU_2119,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,unidentified,unidentified,BOTU_2119_Isosphaeraceae
BOTU_2118,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,uncultured_bacterium,BOTU_2118_uncultured_bacterium
BOTU_2117,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,uncultured_bacterium,BOTU_2117_uncultured_bacterium
BOTU_2113,Bacteria,Actinobacteriota,Acidimicrobiia,uncultured_bacterium,unidentified,unidentified,unidentified,BOTU_2113_uncultured_bacterium
BOTU_2123,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,uncultured_bacterium,BOTU_2123_uncultured_bacterium
BOTU_2111,Bacteria,Armatimonadota,uncultured,uncultured,uncultured,uncultured,unidentified,BOTU_2111_uncultured
BOTU_2116,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,uncultured,uncultured,unidentified,BOTU_2116_uncultured
BOTU_2127,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured_bacterium,BOTU_2127_uncultured_bacterium
BOTU_2106,Bacteria,Proteobacteria,Gammaproteobacteria,KF-JG30-C25,KF-JG30-C25,KF-JG30-C25,uncultured_gamma,BOTU_2106_uncultured_gamma
BOTU_2115,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,unidentified,BOTU_2115_uncultured
BOTU_2126,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,uncultured_bacterium,BOTU_2126_uncultured_bacterium
BOTU_2122,Bacteria,Chloroflexi,uncultured_bacterium,unidentified,unidentified,unidentified,unidentified,BOTU_2122_uncultured_bacterium
BOTU_2125,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,unidentified,BOTU_2125_Gemmatimonadaceae
